input,subject,subject_type,relation,object,object_type
●基于语言学模式的方法抽取同义关系。,基于语言学模式的方法抽取同义关系。,,,基于语言学模式的方法抽取同义关系,
●实体基于CRF的开放同义关系抽取方法学习同义词关系。,实体,,,基于CRF的开放同义关系抽取方法学习同义词关系,
黄峻福[15]提出了一种基于实体属性信息及上下文主题特征相结合进行实体对齐的方法。,黄峻福,,,基于实体属性信息及上下文主题特征相结合进行实体对齐的方法,
万静等人[16]提出了一种独立于模式的基于属性语义特征的实体对齐方法。,万静等人,,,独立于模式的基于属性语义特征的实体对齐方法,
对于上下位关系，开放链接数据集中拥有明确的描述机制，针对不同的数据集，编写相应的规则直接解析即可获取。,开放链接数据集,,,open link data set,
百科中描述了两种上下位关系，一种是类别之间的上下位关系，对应概念的层次关系；另一种则是类别与文章之间的上下位关系，对应实体与概念之间的从属关系。,上下位关系,,,superior and subordinate relationship,
实体对齐可从开放链接数据集和百科中抽取上下位关系。,实体对齐,,,开放链接数据集和百科中抽取上下位关系,
WANG等人[17]引入了弱监督学习框架提取来自用户生成的类别关系，并提出了一种基于模式的关系选择方法，解决学习过程中“语义漂移”问题。,弱监督学习框架,,,weakly supervised learning framework,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,概念的属性学习,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,属性的定义域,
数据模式的学习又称为概念的属性学习，一个属性的定义包含三个部分：属性名、属性的定义域、属性的值域。,属性的定义,,,属性的值域,
但概念的属性被定义好，属于该属性的实体则默认具备此属性，填充属性的值即可。,概念的属性,,,属于该属性的实体则默认具备此属性，填充属性的值即可。,
但概念的属性被定义好，属于该属性的实体则默认具备此属性，填充属性的值即可。,概念的属性,,,default具备此属性,
概念属性的变更会直接影响到它的实体、其子概念以及这些概念下的实体。,概念属性的变更,,,影响概念实体、子概念以及概念下的实体,
概念属性的变更会直接影响到它的实体、其子概念以及这些概念下的实体。,概念属性的变更,,,affect,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,从开放数据集中获取概念的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,从在线百科中学习实体的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,对实体属性进行往上规约从而生成概念的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性定义,,,import属性生成概念的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,开放数据集中获取概念的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,在线百科中学习实体的属性,
因此概念的属性定义十分重要，通常大部分知识库中的概念属性都是采用人工定义等方式生成的，通用知识图谱则可以从开放数据集中获取概念的属性，然后从在线百科中学习实体的属性，并对实体属性进行往上规约从而生成概念的属性。,概念的属性,,,对实体属性进行往上规约从而生成概念的属性,
在进行属性往上规约的过程中，需要通过一定的机制保证概念属性的准确性，对于那些无法自动保证准确性的属性，需要进行人工校验。,属性往上规约,,,保证概念属性的准确性,
SU[18]提出了一种新的半监督方法，从维基百科页面自动提取属性。,SU[18],,,从维基百科页面自动提取属性,
图9-2行业知识图谱应用一览[10]9.3.1电商知识图谱的构建与应用[11]当下，电商的交易规模巨大，对每个人的生活都有影响。,图9-2,,,行业知识图谱应用一览,
随着O2O和零售行业的发展，电商交易场景不再是单纯的线上交易场景，而是新零售、多语言、线上线下相结合的复杂购物场景，电商企业对数据互联的需求越来越强烈。,电商交易场景,,,线上交易场景,
随着O2O和零售行业的发展，电商交易场景不再是单纯的线上交易场景，而是新零售、多语言、线上线下相结合的复杂购物场景，电商企业对数据互联的需求越来越强烈。,电商交易场景,,,新零售、多语言、线上线下相结合的复杂购物场景,
在此基础上，电商交易逐渐转变为集B2C、B2B、跨境为一体，覆盖“实物+虚拟”商品，结合跨领域搜索发现、导购、交互多功能的新型电商交易。,新型电商交易,,,电商交易,
因而电商知识图谱变得非常重要。,电商知识图谱,,,非常重要,
相对于通用知识图谱，它有很多不同之处。,知识图谱,,,SPO三元组,
首先，电商平台是围绕着商品，买卖双方在线上进行交易的平台。,电商平台,,,围绕商品买卖双方在线上进行交易的平台,
故而电商知识图谱的核心是商品。,电商知识图谱,,,商品,
整个商业活动中有品牌商、平台运营、消费者、国家机构、物流商等多角色参与，相对于网页来说，数据的产生、加工、使用、反馈控制得更加严格，约束性更强。,数据安全,,,数据的产生、加工、使用、反馈控制,
如果电商数据以知识图谱的方法组织，可以从数据的生产端开始，就遵循顶层设计。,知识图谱,,,数据组织,
电商数据的结构化程度相对于通用域来说做得更好。,电商数据的结构化程度,,,做好,
知识融合就变得非常重要。,知识融合,,,知识融合的重要性,
最后，与通用知识图谱比较而言，电商知识图谱有大量的国家标准、行业规则、法律法规对商品描述进行着约束。,电商知识图谱,,,国家标准、行业规则、法律法规,
存在大量的人的经验来描述商品做到跟消费者需求的匹配，知识推理显得更为重要。,知识推理,,,存在大量的人的经验来描述商品做到跟消费者需求的匹配,
下面以阿里巴巴知识图谱为例，介绍电商知识图谱的相应技术模块和应用。,阿里巴巴知识图谱,,,电商知识图谱相应技术模块和应用,
在商品知识的表示方面，电商知识图谱以商品为核心，以人、货、场为主要框架。,电商知识图谱,,,以商品为核心，以人、货、场为主要框架,
一级本体分别为人、货、场、百科知识、行业竞争对手、品质、类目、资质和舆情。,一级本体,,,人、货、场、百科知识、行业竞争对手、品质、类目、资质和舆情,
人、货、场构成了商品信息流通的闭环，其他本体主要给予商品更丰富的信息描述。,本体,,,人、货、场,
如图9-3所示为电商知识图谱的数据模型，数据来源包含国内—国外数据、商业—国家数据、线上—线下等多源数据。,电商知识图谱的数据模型,,,多源数据,
目前有百亿级的节点和百亿级的关系边。,三元组,,,属于schema,
图9-3电商知识图谱的数据模型电商知识图谱主要的获取来源为知识众包，这其中的关键就是知识图谱本体设计。,电商知识图谱,,,知识众包,
图9-3电商知识图谱的数据模型电商知识图谱主要的获取来源为知识众包，这其中的关键就是知识图谱本体设计。,本体设计,,,ontology design,
在设计上要考虑商品本身，又要考虑消费者需求和便于平台运营管理。,SPO,,,在设计上要考虑商品本身，又要考虑消费者需求和便于平台运营管理,
另一个核心工作是要开发面向电商各种角色的数据采集工具，例如面向卖家的商品发布端。,面向卖家的商品发布端,,,面向电商各种角色的数据采集工具,
此外，电商知识的另一个来源是文本数据，例如商品标题、图片、详情、评价，舆情中的品牌、型号、卖点、场景等信息。,电商知识的来源,,,文本数据,
主要包括：●商品域：类目、产品词、品牌、商品属性、属性值、标准产品。,商品域,,,类目、产品词、品牌、商品属性、属性值、标准产品,
主要包括：●商品域：类目、产品词、品牌、商品属性、属性值、标准产品。,商品域,,,类目,
●LBS域：小区、超市、商场、写字楼、公司。,LBS域,,,小区、超市、商场、写字楼、公司,
●通用域：人物、数字、时间。,通用域,,,人物,
●通用域：人物、数字、时间。,通用域,,,数字,
●通用域：人物、数字、时间。,通用域,,,时间,
最后，对知识图谱实体描述，除了基础的属性与属性值，很多是通过实体标签来实现的。,知识图谱实体描述,,,基础的属性与属性值,
最后，对知识图谱实体描述，除了基础的属性与属性值，很多是通过实体标签来实现的。,知识图谱实体描述,,,通过实体标签来实现的,
相对来说，标签变化快、易扩展。,标签,,,变化快、易扩展,
很大一部分这类知识是通过推理获得的。,知识推理,,,推理获得的知识,
例如，在食品的标签生成中，知识推理通过食品的配料表数据和国家行业标准，如：●无糖：碳水化合物含量小于或等于0.5g/100g（固体）或0.5g/100mL（液体）；●无盐：钠含量小于或等于5mg/100g或5mg/100mL。,无糖,,,碳水化合物含量小于或等于0.5g/100g（固体）或0.5g/100mL（液体）,
例如，在食品的标签生成中，知识推理通过食品的配料表数据和国家行业标准，如：●无糖：碳水化合物含量小于或等于0.5g/100g（固体）或0.5g/100mL（液体）；●无盐：钠含量小于或等于5mg/100g或5mg/100mL。,无盐,,,钠含量小于或等于5mg/100g或5mg/100mL,
通过推理，可以把配料表数据转化为“无糖”“无盐”等知识点，从而真正地把数据变成了知识标签，并改善消费者的购物体验。,配料表数据转化,,,“无糖”“无盐”等知识点,
大量的多源异构数据的汇集需要考虑知识的融合，主要涉及商品和产品两个核心节点知识融合。,知识融合,,,大量的多源异构数据的汇集,
大量的多源异构数据的汇集需要考虑知识的融合，主要涉及商品和产品两个核心节点知识融合。,知识融合,,,knowledge fusion,
主要利用大规模聚类、大规模实体链指、大规模层次分类等技术，依据商品或产品的图片、文本、属性结构化等数据。,知识图谱,,,大规模聚类、大规模实体链指、大规模层次分类等技术,
图片涉及相似图计算、OCR等技术。,图片,,,相似图计算、OCR等技术,
大规模层次分类需要把目标商品或产品归到上千个商品1级和2级类目中去。,大规模层次分类,,,把目标商品或产品归到上千个商品1级和2级类目中去,
这里面的难度在于类目的细分和混淆度，以及大规模训练数据的生成和去噪。,难度,,,类目的细分和混淆度，以及大规模训练数据的生成和去噪,
大规模聚类的目的是把统一数据源的信息先做一次融合。,大规模聚类,,,统一数据源的信息先做一次融合,
大规模实体链指的核心是通过知识图谱的候选实体排序，把新的实体与知识图谱目标识别进行关联，从而把新知识融入知识图谱。,大规模实体链指,,,知识图谱的候选实体排序,
大规模实体链指的核心是通过知识图谱的候选实体排序，把新的实体与知识图谱目标识别进行关联，从而把新知识融入知识图谱。,大规模实体链指,,,把新知识融入知识图谱,
在新知识融入工程中，涉及不同数据源属性名称和属性值的映射和标准化。,新知识的融入,,,不同数据源属性名称和属性值的映射和标准化,
这就需要大规模电商词林的建设和挖掘。,大规模电商词林的建设和挖掘,,,需要,
通常来说，电商知识图谱的实体量比通用知识图谱的实体量要大很多，选择存储方案时，需要考虑很多因素，例如支持的查询方式、支持的图查询路径长度、响应时间、机器成本等。,电商知识图谱,,,实体量比通用知识图谱的实体量要大很多,
通常来说，电商知识图谱的实体量比通用知识图谱的实体量要大很多，选择存储方案时，需要考虑很多因素，例如支持的查询方式、支持的图查询路径长度、响应时间、机器成本等。,存储方案,,,storage scheme,
因此，存储主要采取多种存储方式混合的方案。,存储,,,多种存储方式混合的方案,
另一方面，考虑到成本因素，全量的图谱数据通过离线关系数据库存储，共包含实体表、关系表、类目表三种表类型。,离线关系数据库,,,全量的图谱数据,
另一方面，考虑到成本因素，全量的图谱数据通过离线关系数据库存储，共包含实体表、关系表、类目表三种表类型。,实体表,,,entity table,
另一方面，考虑到成本因素，全量的图谱数据通过离线关系数据库存储，共包含实体表、关系表、类目表三种表类型。,关系表,,,relation table,
另一方面，考虑到成本因素，全量的图谱数据通过离线关系数据库存储，共包含实体表、关系表、类目表三种表类型。,类目表,,,categorical table,
为了更好地支持在线图查询和逻辑查询，与在线业务相关的知识图谱子图采用在线图数据库来存储。,在线业务相关的知识图谱子图,,,在线图数据库,
离线关系数据库支持向在线图数据库导入。,离线关系数据库,,,在线图数据库,
考虑图数据的查询性能与节点路径长度关系很大，为保证毫秒级的在线响应，部分数据采用在线关系数据库支持查询。,图数据的查询性能,,,保证毫秒级的在线响应,
考虑图数据的查询性能与节点路径长度关系很大，为保证毫秒级的在线响应，部分数据采用在线关系数据库支持查询。,在线关系数据库,,,online relational database,
在应用方面，作为商品大脑，电商知识图谱的一个主要应用场景就是智能导购。,电商知识图谱,,,智能导购,
而所谓导购，就是让消费者更容易找到他们想要的东西，例如说买家输入“我需要一件漂亮的真丝丝巾”，商品大脑会通过语法词法分析来提取语义要点“一”“漂亮”“真丝”“丝巾”这些关键词，从而帮买家搜索到合适的商品。,导购,,,让买家更容易找到他们想要的东西,
而所谓导购，就是让消费者更容易找到他们想要的东西，例如说买家输入“我需要一件漂亮的真丝丝巾”，商品大脑会通过语法词法分析来提取语义要点“一”“漂亮”“真丝”“丝巾”这些关键词，从而帮买家搜索到合适的商品。,导购,,,guide,
在导购中，为了让发现更简单，商品大脑还学习了大量的行业规范与国家标准，比如说全棉、低糖、低嘌呤等。,商品大脑,,,导购,
此外，商品大脑可以从公共媒体、专业社区的信息中识别出近期热词，跟踪热点词的变化，由运营确认是否成为热点词，这也是为什么买家在输入斩男色、禁忌之吻、流苏风等热词后，出现了自己想要的商品。,商品大脑,,,从公共媒体、专业社区的信息中识别出近期热词，跟踪热点词的变化,
此外，商品大脑可以从公共媒体、专业社区的信息中识别出近期热词，跟踪热点词的变化，由运营确认是否成为热点词，这也是为什么买家在输入斩男色、禁忌之吻、流苏风等热词后，出现了自己想要的商品。,商品大脑,,,hot words tracking,
最后，商品大脑还能通过实时学习构建出场景。,商品大脑,,,实时学习构建出场景,
例如输入“海边玩买什么”，结果中就会出现泳衣、游泳圈、防晒霜、沙滩裙等商品。,知识问答,,,属于搜索引擎,
再者，电商平台管控从过去的“巡检”模式升级为发布端实时逐一检查。,电商平台管控,,,“巡检”模式升级为发布端实时逐一检查,
在海量的商品发布量的挑战下，最大限度地借助大数据和人工智能阻止坏人、问题商品进入电商生态。,电商风控,,,海量商品发布量的挑战,
为了最大限度地保护知识产权，保护消费者权益，电商知识图谱推理引擎技术满足了智能化、自学习、毫秒级响应、可解释等更高的技术要求。,电商知识图谱推理引擎技术,,,智能化、自学习、毫秒级响应、可解释等更高的技术要求,
例如，上下位和等价推理，检索父类时，通过上下位推理把子类的对象召回，同时利用等价推理（实体的同义词、变异词、同款模型等）扩大召回。,上下位和等价推理,,,检索父类,
例如，上下位和等价推理，检索父类时，通过上下位推理把子类的对象召回，同时利用等价推理（实体的同义词、变异词、同款模型等）扩大召回。,上下位推理,,,hyponymic reasoning,
例如，上下位和等价推理，检索父类时，通过上下位推理把子类的对象召回，同时利用等价推理（实体的同义词、变异词、同款模型等）扩大召回。,等价推理,,,equivalence reasoning,
以拦截“产地为某核污染区域的食品”为例，推理引擎翻译为“找到产地为该区域，且属性项与‘产地’同义，属性值是该区域下位实体的食品，以及与命中的食品是同款的食品”。,推理引擎,,,翻译为,
以拦截“产地为某核污染区域的食品”为例，推理引擎翻译为“找到产地为该区域，且属性项与‘产地’同义，属性值是该区域下位实体的食品，以及与命中的食品是同款的食品”。,推理引擎,,,translate,
9.3.2图情知识图谱的构建与应用[12]图情知识图谱是指聚焦某一特定细分行业，以整合行业内图情资源为目标的知识图谱。,图情知识图谱,,,聚焦某一特定细分行业，以整合行业内图情资源为目标的知识图谱,
提供知识搜索、知识标引、决策支持等形态的知识应用，服务于行业内的从业人员、科研机构及行业决策者。,知识应用,,,知识搜索、知识标引、决策支持等形态的知识应用,
图情领域与知识图谱的结合由来已久。,图情领域,,,知识图谱,
英国的大英博物馆通过结合语义技术对馆藏品各类数据资源进行语义组织，通过语义细化、多媒体资源标注等方式提供多样化的知识服务形式[13]；英国广播公司BBC[20]在其音乐、体育野生动物等板块定义了知识本体，将新/XML、JSON和XML）进行内容管理与自动生成报闻转化为机器可读的信息源（RDF道。,大英博物馆,,,英国的大英博物馆,
国内图情领域也越来越重视对知识图谱技术的利用。,知识图谱技术,,,国内图情领域,
上海图书馆[14]借鉴美国国会书目框架BibFrame[21]对家谱、名人、手稿等资源构建知识体系，打造家谱服务平台，为研究者们提供古籍循证服务；中国农业科学院[15]则聚焦于水稻细分领域，整合论文、专利、新闻等行业资源，构建水稻知识图谱，为科研工作者提供了行业专业知识服务平台。,上海图书馆,,,家谱服务平台,
图情知识图谱的构建一般采用自顶向下的方式进行知识建模，通常从资源类型数据入手，整理出资源的发表者（人物）、发表机构（机构）、关键词（知识点）、发表载体（刊物）等类型的实体及各自之间的关系，同时通过人物、机构的主页进行实体属性的扩充。,图情知识图谱,,,自顶向下的方式,
图情知识图谱的构建一般采用自顶向下的方式进行知识建模，通常从资源类型数据入手，整理出资源的发表者（人物）、发表机构（机构）、关键词（知识点）、发表载体（刊物）等类型的实体及各自之间的关系，同时通过人物、机构的主页进行实体属性的扩充。,实体及各自之间的关系,,,构建知识图谱,
如图9-4所示为图情知识图谱Schema模型，展示了概念与概念间的关系以及部分属性。,图情知识图谱Schema模型,,,概念与概念间的关系以及部分属性,
如图9-4所示为图情知识图谱Schema模型，展示了概念与概念间的关系以及部分属性。,概念/属性,,,等价,
图9-4图情知识图谱Schema模型接下来分别对图情领域的数据进行获取，数据源主要包括四类。,图情知识图谱Schema模型,,,图9-4,
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,开放数据,,,开放通用数据,
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,第一类,,,知网、专利局等文献类网站,
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,第二类,,,开放通用数据,
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,第三类,,,行业垂直的新闻门户,
第一类是知网、专利局等文献类网站，第二类是开放通用数据，包括百科类网站以及DBpedia等的开放链接数据集，第三类是行业垂直的新闻门户，第四类是行业内企业和科研机构内部积累的既有数据。,第四类,,,行业内企业和科研机构内部积累的既有数据,
知识获取的方法视数据类型而异，具体可参考本章9.1.3节的介绍。,知识获取的方法,,,本章9.1.3节的介绍,
图情领域的知识融合需要考虑实体层面的融合以及知识体系的融合。,图情领域的知识融合,,,实体层面的融合以及知识体系的融合,
对于实体融合，主要解决不同来源实体的属性缺失、冲突等问题，一般采用多数投票的方式进行实体属性的对齐。,实体融合,,,解决不同来源实体的属性缺失、冲突等问题，一般采用多数投票的方式进行实体属性的对齐,
对于多知识体系的融合，通常确定置信度最高的体系作为基准，如专利的IPC分类，继而将其他来源的知识点进行对齐。,多知识体系的融合,,,确定置信度最高的体系作为基准,
由于知识体系的质量影响到了整个知识图谱的知识描述能力与准确性，所以一般允许较多的人工介入来进行体系的融合梳理。,知识体系,,,知识图谱的知识描述能力与准确性,
图情知识图谱的存储设计需要兼顾实体、概念等图谱数据与论文、新闻等资源类型数据。,图情知识图谱的存储设计,,,兼顾实体、概念等图谱数据与论文、新闻等资源类型数据,
对于图谱数据，推荐使用基于RDF的存储，如AllegroGraph、Jena等，它们对数据中的语义描述有着天然的支持，能更快地实现语义搜索等应用。,AllegroGraph,,,基于RDF的存储,
对于图谱数据，推荐使用基于RDF的存储，如AllegroGraph、Jena等，它们对数据中的语义描述有着天然的支持，能更快地实现语义搜索等应用。,Jena,,,基于RDF的存储,
对于资源数据，则可以使用面向搜索设计的数据库，如Elasticsearch、Solr等，以获得更好的搜索支持。,面向搜索设计的数据库,,,Elasticsearch,
对于资源数据，则可以使用面向搜索设计的数据库，如Elasticsearch、Solr等，以获得更好的搜索支持。,面向搜索设计的数据库,,,Solr,
图情领域中的知识计算主要包括图论算法、知识统计以及知识推理。,知识计算,,,图情领域,
通过实现基本图论算法来辅助进行各类业务分析。,图论算法,,,辅助进行各类业务分析,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,图遍历算法,,,机构合作的谱系分析,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,基于社区发现算法,,,寻找学术研究热点,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,借助图排序算法,,,进行权威分析,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,图遍历算法,,,graph traversal algorithm,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,社区发现算法,,,community discovery algorithm,
例如，通过图遍历算法进行机构合作的谱系分析；基于社区发现算法寻找学术研究热点；借助图排序算法进行权威分析等。,图排序算法,,,graph sort algorithm,
通过统计学方法进行宏观层面的分析，如行业发展趋势、机构研究分布等。,SPO,,,统计学方法进行宏观层面的分析,
通过知识推理完成新知识的补充，如专家合作关系、公司上下游关系等。,知识推理,,,新知识的补充,
图情知识图谱的典型应用包括知识搜索、知识标引、决策支持等。,图情知识图谱的应用,,,知识搜索,
图情知识图谱的典型应用包括知识搜索、知识标引、决策支持等。,图情知识图谱的应用,,,知识标引,
图情知识图谱的典型应用包括知识搜索、知识标引、决策支持等。,图情知识图谱的应用,,,决策支持,
知识搜索是图情领域的基础性服务，而知识图谱技术可以从准确性和形态上为其赋能。,知识搜索,,,知识图谱技术,
图谱中的实体识别技术能够提高搜索的命中率，同时允许用户通过自然语言的方式进行知识的语义搜索。,图谱中的实体识别技术,,,搜索的命中率,
图谱中的实体识别技术能够提高搜索的命中率，同时允许用户通过自然语言的方式进行知识的语义搜索。,图谱中的实体识别技术,,,语义搜索,
而通过知识卡片、知识推荐等结果的返回也可以提升用户的交互体验。,知识卡片,,,知识推荐等结果,
如图9-5所示为大英博物馆语义搜索。,大英博物馆语义搜索,,,语义搜索,
图9-5大英博馆院语义搜索知识标引指的是根据构建完成的图情知识图谱，对新闻、文献等文本的内容进行知识标注的过程。,知识标引,,,根据构建完成的图情知识图谱，对新闻、文献等文本的内容进行知识标注的过程,
知识标引既是图谱构建过程中的重要工作，又是图谱应用的一种形态，可以依托标引技术打造在线的阅读工具，或者集成Office、PDF_reader等文档类应用，提供知识卡片、知识推荐等服务，辅助终端用户阅读，如图9-6所示。,知识标引,,,图谱构建过程中的重要工作,
知识标引既是图谱构建过程中的重要工作，又是图谱应用的一种形态，可以依托标引技术打造在线的阅读工具，或者集成Office、PDF_reader等文档类应用，提供知识卡片、知识推荐等服务，辅助终端用户阅读，如图9-6所示。,知识标引,,,图谱应用的一种形态,
图9-6基于知识标引的辅助阅读决策支持基于路径分析、关联分析、节点聚类等图算法进行辅助分析，并通过图谱可视化的方式展示知识间的关联。,基于知识标引的辅助阅读决策支持,,,基于路径分析、关联分析、节点聚类等图算法进行辅助分析，并通过图谱可视化的方式展示知识间的关联,
可以对关联参数，如步长、过滤条件等，以及可视化的形态，如节点颜色、大小、距离等进行定制，从而为可视化决策支持赋予不同的业务含义。,可视化决策支持,,,定制业务含义,
如图9-7和图9-8所示为典型的可视化决策支持场景。,可视化决策支持场景,,,典型的可视化决策支持场景,
深度学习技术在语音、图像领域均取得了突破性的进展。,深度学习技术,,,语音、图像领域均取得了突破性的进展,
然而，随着深度学习被广泛应用，其局限性也愈发明显。,深度学习,,,局限性,
主要表现在以下四个方面：（1）缺乏可解释性。,SPO,,,主要表现在以下四个方面：（1）缺乏可解释性。,
神经网络端到端学习的“黑箱”特性使得很多模型不具有可解释性，导致很多需要人去参与决策。,神经网络端到端学习,,,“黑箱”特性导致很多模型不具有可解释性，导致很多需要人去参与决策,
在这些应用场景中，机器结果无法完全置信而需要谨慎使用，例如医学的疾病诊断、金融的智能投顾等。,机器结果,,,无法完全置信而需要谨慎使用,
这些场景属于低容错高风险场景，必须需要显示的证据支持模型结果，从而辅助人进行决策。,低容错高风险场景,,,需要显示的证据支持模型结果，从而辅助人进行决策,
这些场景属于低容错高风险场景，必须需要显示的证据支持模型结果，从而辅助人进行决策。,低容错高风险场景,,,low error and high risk scene,
（2）常识缺失。,常识缺失,,,SPO三元组,
例如，下雨要打伞，但打伞不一定都是下雨天。,打伞,,,下雨天,
（3）缺乏语义理解。,SPO,,,缺乏语义理解,
模型并不理解数据中的语义知识，缺乏推理和抽象能力，对于未见数据模型泛化能力差。,模型,,,缺乏推理和抽象能力,
模型并不理解数据中的语义知识，缺乏推理和抽象能力，对于未见数据模型泛化能力差。,模型,,,未见数据模型泛化能力差,
（4）依赖大量样本数据。,SPO,,,属于概念/产品,
机器学习和深度学习需要大量标注样本数据去训练模型，而数据标注的成本很高，很多场景缺乏标注数据来进行冷启动。,机器学习和深度学习,,,数据标注,
从人工智能整体发展来说，综上的局限性也是机器从感知智能向认知智能迁跃过程中必须解决的问题。,人工智能的局限性,,,机器从感知智能向认知智能迁跃过程中必须解决的问题,
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,认知智能,,,推理和抽象能力,
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,认知智能,,,模型可复用的知识,
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,推理和抽象能力,,,reasoning and abstraction ability,
认知智能需要机器具备推理和抽象能力，需要模型能够利用先验知识，总结出人可理解、模型可复用的知识。,模型,,,model,
机器计算能力在整体上需要从数据计算转向知识计算，知识图谱就显得必不可少。,知识图谱,,,机器计算能力整体转向知识计算,
知识图谱可以组织现实世界中的知识，描述客观概念、实体、关系。,知识图谱,,,组织现实世界中的知识，描述客观概念、实体、关系,
这种基于符号语义的计算模型，一方面可以促成人和机器的有效沟通，另一方面可以为深度学习模型提供先验知识，将机器学习结果转化为可复用的符号知识并累积起来。,基于符号语义的计算模型,,,促成人和机器的有效沟通,
这种基于符号语义的计算模型，一方面可以促成人和机器的有效沟通，另一方面可以为深度学习模型提供先验知识，将机器学习结果转化为可复用的符号知识并累积起来。,基于符号语义的计算模型,,,为深度学习模型提供先验知识,
